ref_area,year,studenti,scuole,region,children_6_10,_merge,proj,studenti_proj,ratio,ratio_hat,ratio_lcl,ratio_ucl,scuole_hat,scuole_lcl,scuole_ucl
,2068,,,Molise,11942.0,right_only,BSL,11942.0,,93.70677602436324,90.33333333333333,97.49107142857143,127.44009031849679,122.49326861434197,132.19926199261994
,2069,,,Molise,11840.0,right_only,BSL,11840.0,,93.70677602436324,90.33333333333333,97.49107142857143,126.35158845846608,121.44701895778002,131.070110701107
,2070,,,Molise,11762.0,right_only,BSL,11762.0,,93.70677602436324,90.33333333333333,97.49107142857143,125.51920468314849,120.64694569099734,130.20664206642067
,2071,,,Molise,11701.0,right_only,BSL,11701.0,,93.70677602436324,90.33333333333333,97.49107142857143,124.86823788450268,120.02124736697499,129.53136531365314
,2072,,,Molise,11648.0,right_only,BSL,11648.0,,93.70677602436324,90.33333333333333,97.49107142857143,124.30264378076123,119.47760783954574,128.94464944649448
,2073,,,Molise,11613.0,right_only,BSL,11613.0,,93.70677602436324,90.33333333333333,97.49107142857143,123.92913824055461,119.11860060445096,128.55719557195573
,2074,,,Molise,11579.0,right_only,BSL,11579.0,,93.70677602436324,90.33333333333333,97.49107142857143,123.56630428721104,118.7698507189303,128.18081180811808
,2075,,,Molise,11547.0,right_only,BSL,11547.0,,93.70677602436324,90.33333333333333,97.49107142857143,123.22481350759357,118.44161553255792,127.82656826568267
,2076,,,Molise,11520.0,right_only,BSL,11520.0,,93.70677602436324,90.33333333333333,97.49107142857143,122.93668066229132,118.16466709405623,127.52767527675277
,2077,,,Molise,11493.0,right_only,BSL,11493.0,,93.70677602436324,90.33333333333333,97.49107142857143,122.64854781698908,117.88771865555454,127.22878228782288
,2078,,,Molise,11462.0,right_only,BSL,11462.0,,93.70677602436324,90.33333333333333,97.49107142857143,122.31772862423465,117.56974081875629,126.88560885608857
,2079,,,Molise,11430.0,right_only,BSL,11430.0,,93.70677602436324,90.33333333333333,97.49107142857143,121.97623784461717,117.24150563238392,126.53136531365314
,2080,,,Molise,11404.0,right_only,BSL,11404.0,,93.70677602436324,90.33333333333333,97.49107142857143,121.69877658617797,116.97481454345636,126.24354243542436
ITC1,2015,191290.0,1360.0,Piemonte,,left_only,,191290.0,140.65441176470588,140.65441176470588,140.65441176470588,140.65441176470588,1360.0,1360.0,1360.0
ITC1,2016,191211.0,1353.0,Piemonte,,left_only,,191211.0,141.32372505543236,141.32372505543236,141.32372505543236,141.32372505543236,1353.0,1353.0,1353.0
ITC1,2017,190258.0,1345.0,Piemonte,,left_only,,190258.0,141.4557620817844,141.4557620817844,141.4557620817844,141.4557620817844,1345.0,1345.0,1345.0
ITC1,2018,188516.0,1343.0,Piemonte,,left_only,,188516.0,140.36932241250932,140.36932241250932,140.36932241250932,140.36932241250932,1343.0,1343.0,1343.0
ITC1,2019,185943.0,1341.0,Piemonte,,left_only,,185943.0,138.6599552572707,138.6599552572707,138.6599552572707,138.6599552572707,1341.0,1341.0,1341.0
ITC1,2020,182025.0,1336.0,Piemonte,,left_only,,182025.0,136.24625748502993,136.24625748502993,136.24625748502993,136.24625748502993,1336.0,1336.0,1336.0
ITC1,2021,177669.0,1334.0,Piemonte,,left_only,,177669.0,133.18515742128935,133.18515742128935,133.18515742128935,133.18515742128935,1334.0,1334.0,1334.0
ITC1,2022,173613.0,1332.0,Piemonte,,left_only,,173613.0,130.3400900900901,130.3400900900901,130.3400900900901,130.3400900900901,1332.0,1332.0,1332.0
,2024,,,Piemonte,338014.0,right_only,BSL,338014.0,,139.51463883489,130.3400900900901,141.4557620817844,2422.7851845713913,2389.5385739364438,2593.323357121875
,2025,,,Piemonte,328251.0,right_only,BSL,328251.0,,139.51463883489,130.3400900900901,141.4557620817844,2352.806864865786,2320.520530017134,2518.4193119178863
,2026,,,Piemonte,318169.0,right_only,BSL,318169.0,,139.51463883489,130.3400900900901,141.4557620817844,2280.542046749232,2249.2473641055826,2441.067823262083
,2027,,,Piemonte,308970.0,right_only,BSL,308970.0,,139.51463883489,130.3400900900901,141.4557620817844,2214.6063135758363,2184.216432423341,2370.4909194587963
,2028,,,Piemonte,300137.0,right_only,BSL,300137.0,,139.51463883489,130.3400900900901,141.4557620817844,2151.2939610244066,2121.77288208643,2302.72205422405
,2029,,,Piemonte,291951.0,right_only,BSL,291951.0,,139.51463883489,130.3400900900901,141.4557620817844,2092.6191146544293,2063.9031998654455,2239.917126021669
,2030,,,Piemonte,284825.0,right_only,BSL,284825.0,,139.51463883489,130.3400900900901,141.4557620817844,2041.5420372988888,2013.5270264588085,2185.2447685369184
,2031,,,Piemonte,278508.0,right_only,BSL,278508.0,,139.51463883489,130.3400900900901,141.4557620817844,1996.2636345968187,1968.869955534064,2136.7792504017557
,2032,,,Piemonte,273855.0,right_only,BSL,273855.0,,139.51463883489,130.3400900900901,141.4557620817844,1962.9122957060902,1935.9762795782567,2101.0803338459677
,2033,,,Piemonte,270474.0,right_only,BSL,270474.0,,139.51463883489,130.3400900900901,141.4557620817844,1938.6782796326854,1912.0748141996655,2075.1405021513365
,2034,,,Piemonte,269352.0,right_only,BSL,269352.0,,139.51463883489,130.3400900900901,141.4557620817844,1930.6361128079707,1904.1430058131589,2066.53225276909
,2035,,,Piemonte,270299.0,right_only,BSL,270299.0,,139.51463883489,130.3400900900901,141.4557620817844,1937.4239309746417,1910.8376783105045,2073.797860759275
,2036,,,Piemonte,272931.0,right_only,BSL,272931.0,,139.51463883489,130.3400900900901,141.4557620817844,1956.2893347916195,1929.4442020834865,2093.9911872958824
,2037,,,Piemonte,275727.0,right_only,BSL,275727.0,,139.51463883489,130.3400900900901,141.4557620817844,1976.3302424938495,1949.2100989183107,2115.4427606227646
,2038,,,Piemonte,278640.0,right_only,BSL,278640.0,,139.51463883489,130.3400900900901,141.4557620817844,1997.2097718703146,1969.8031094618884,2137.7919856231965
,2039,,,Piemonte,281610.0,right_only,BSL,281610.0,,139.51463883489,130.3400900900901,141.4557620817844,2018.497860523971,1990.7990728379357,2160.578528105614
,2040,,,Piemonte,284699.0,right_only,BSL,284699.0,,139.51463883489,130.3400900900901,141.4557620817844,2040.6389062650971,2012.6362886186125,2184.278066734634
,2041,,,Piemonte,287865.0,right_only,BSL,287865.0,,139.51463883489,130.3400900900901,141.4557620817844,2063.3318654157624,2035.01784419052,2208.5683675761607
,2042,,,Piemonte,291019.0,right_only,BSL,291019.0,,139.51463883489,130.3400900900901,141.4557620817844,2085.9388120870194,2057.314567587171,2232.7666015793748
